symbol,name,sector,industry,market_cap,country
AINV,Apollo Investment Corporation,Financials,Capital Markets,Small Cap,United States
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund,Financials,,Small Cap,United States
AIOT,PowerFleet Inc. Common Stock,Communication Services,Diversified Telecommunication Services,Small Cap,United States
AIP,Arteris Inc. Common Stock,Information Technology,Semiconductors & Semiconductor Equipment,Small Cap,United States
AIR,AAR Corp.,Industrials,Aerospace & Defense,Mid Cap,United States
AIRC,Apartment Income REIT Corp.,Real Estate,Equity Real Estate Investment Trusts (REITs),Mid Cap,United States
AIRE,reAlpha Tech Corp. Common Stock,Real Estate,,Nano Cap,United States
AIRG,"Airgain, Inc.",Information Technology,Communications Equipment,Micro Cap,United States
AIRI,Air Industries Group,Industrials,Aerospace & Defense,Nano Cap,United States
AIRO,"AIRO Group Holdings, Inc.",Financials,Diversified Financial Services,Small Cap,United States
AIRS,AirSculpt Technologies Inc. Common Stock,Health Care,Health Care Equipment & Supplies,Micro Cap,United States
AIRT,"Air T, Inc.",Industrials,Air Freight & Logistics,Micro Cap,United States
AIRTP,"Air T, Inc.",Industrials,Air Freight & Logistics,Micro Cap,United States
AIRTW,"Air T, Inc.",Industrials,Air Freight & Logistics,Micro Cap,United States
AISP,Airship AI Holdings Inc. Class A Common Stock,Information Technology,,Micro Cap,United States
AISPW,Airship AI Holdings Inc. Warrants,Financials,,Nano Cap,United States
AIT,"Applied Industrial Technologies, Inc.",Industrials,Trading Companies & Distributors,Large Cap,United States
AITX,Artificial Intelligence Technology Solutions Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Micro Cap,United States
AIV,Apartment Investment and Management Company,Real Estate,Equity Real Estate Investment Trusts (REITs),Small Cap,United States
AIVN,"American International Ventures, Inc.",Materials,Metals & Mining,Nano Cap,United States
AIW,Arlington Asset Investment Corp.,Real Estate,Equity Real Estate Investment Trusts (REITs),Micro Cap,United States
AIXC,AIxCrypto Holdings Inc. Common Stock,Health Care,Biotechnology,Nano Cap,United States
AIZ,"Assurant, Inc.",Financials,Insurance,Large Cap,United States
AIZN,"Assurant, Inc.",Financials,Insurance,Small Cap,United States
AJAX,Ajax I,Financials,Diversified Financial Services,Small Cap,United States
AJAX-UN,Ajax I,Financials,Diversified Financial Services,Small Cap,United States
AJAX-WT,Ajax I,Financials,Diversified Financial Services,Small Cap,United States
AJG,Arthur J. Gallagher & Co.,Financials,Insurance,Large Cap,United States
AJIA,"Ajia Innogroup Holdings, Ltd.",Information Technology,Software,Micro Cap,United States
AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrials,Aerospace & Defense,Mid Cap,United States
AJX,Great Ajax Corp.,Real Estate,Equity Real Estate Investment Trusts (REITs),Micro Cap,United States
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,Real Estate,Equity Real Estate Investment Trusts (REITs),Small Cap,United States
AJXGF,AgJunction Inc.,Information Technology,Communications Equipment,Nano Cap,United States
AKAM,"Akamai Technologies, Inc.",Information Technology,Software,Large Cap,United States
AKAOQ,"Achaogen, Inc.",Health Care,Biotechnology,Nano Cap,United States
AKBA,"Akebia Therapeutics, Inc.",Health Care,Biotechnology,Small Cap,United States
AKIC,Sports Ventures Acquisition Corp.,Financials,Diversified Financial Services,Micro Cap,United States
AKICU,Sports Ventures Acquisition Corp.,Financials,Diversified Financial Services,Micro Cap,United States
AKICW,Sports Ventures Acquisition Corp.,Financials,Diversified Financial Services,Micro Cap,United States
AKLI,Akili Inc. Common Stock,Information Technology,Software,Nano Cap,United States
AKOM,Aerkomm Inc.,Information Technology,Communications Equipment,Nano Cap,United States
AKR,Acadia Realty Trust,Real Estate,Equity Real Estate Investment Trusts (REITs),Mid Cap,United States
AKRO,"AKERO THERAPEUTICS, INC.",Health Care,Biotechnology,Mid Cap,United States
AKSY,Aksys Ltd.,Health Care,Health Care Equipment & Supplies,Nano Cap,United States
AKTS,"Akoustis Technologies, Inc.",Information Technology,Communications Equipment,Small Cap,United States
AKU,Akumin Inc.,Health Care,Biotechnology,Nano Cap,United States
AKUS,"Akouos, Inc.",Health Care,Biotechnology,Small Cap,United States
AKVA,Arkanova Energy Corporation,Energy,"Oil, Gas & Consumable Fuels",Nano Cap,United States
AKYA,"Akoya Biosciences, Inc.",Health Care,Health Care Equipment & Supplies,Micro Cap,United States
AL,Air Lease Corporation,Industrials,Commercial Services & Supplies,Mid Cap,United States
ALAB,Astera Labs Inc. Common Stock,Information Technology,,Large Cap,United States
ALAN,"Alanco Technologies, Inc.",Industrials,Transportation Infrastructure,Nano Cap,United States
ALB,Albemarle Corporation,Materials,Chemicals,Large Cap,United States
ALBO,"Albireo Pharma, Inc.",Health Care,Biotechnology,Small Cap,United States
ALBT,Avalon GloboCare Corp. Common Stock,Real Estate,Real Estate Management & Development,Nano Cap,United States
ALBY,"Community Capital Bancshares, Inc.",Financials,Banks,Nano Cap,United States
ALB^A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock,Materials,,,United States
ALCE,Alternus Clean Energy Inc. Class A Common Stock,Utilities,Electric Utilities,Nano Cap,United States
ALCO,"Alico, Inc.",Consumer Staples,Household Products,Small Cap,United States
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,Financials,Diversified Financial Services,Nano Cap,United States
ALCYU,Alchemy Investments Acquisition Corp 1 Units,Financials,Diversified Financial Services,Nano Cap,United States
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,Financials,Diversified Financial Services,Nano Cap,United States
ALDA,"Atlantica, Inc.",Financials,Diversified Financial Services,Nano Cap,United States
ALDFU,Aldel Financial II Inc. Units,Financials,Diversified Financial Services,Nano Cap,United States
ALDS,"APPlife Digital Solutions, Inc.",Information Technology,Software,Nano Cap,United States
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Biotechnology,Small Cap,United States
ALE,"ALLETE, Inc.",Utilities,Multi-Utilities,Mid Cap,United States
ALEC,"Alector, Inc.",Health Care,Biotechnology,Micro Cap,United States
ALEX,"Alexander & Baldwin, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs),Small Cap,United States
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,Financials,,Nano Cap,United States
ALFIW,"Alfi, Inc.",Information Technology,,,United States
ALFUU,Centurion Acquisition Corp. Unit,Financials,,Nano Cap,United States
ALFUW,Centurion Acquisition Corp. Warrant,Financials,Diversified Financial Services,Nano Cap,United States
ALG,Alamo Group Inc.,Industrials,Machinery,Mid Cap,United States
ALGM,"Allegro MicroSystems, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap,United States
ALGN,"Align Technology, Inc.",Health Care,Health Care Technology,Large Cap,United States
ALGS,"Aligos Therapeutics, Inc.",Health Care,Biotechnology,Nano Cap,United States
ALGT,Allegiant Travel Company,Industrials,Airlines,Small Cap,United States
ALHC,"Alignment Healthcare, Inc.",Health Care,Health Care Providers & Services,Mid Cap,United States
ALIM,"Alimera Sciences, Inc.",Health Care,Pharmaceuticals,Small Cap,United States
ALISR,Calisa Acquisition Corp Right,Financials,Diversified Financial Services,Nano Cap,United States
ALIT,Alight Inc. Class A Common Stock,Information Technology,Software,Small Cap,United States
ALJJ,"ALJ Regional Holdings, Inc.",Industrials,Professional Services,Micro Cap,United States
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,Mid Cap,United States
ALKM,"Alkame Holdings, Inc.",Consumer Staples,Beverages,Nano Cap,United States
ALKN,"Alkane, Inc.",Materials,Chemicals,Nano Cap,United States
ALKT,"Alkami Technology, Inc.",Information Technology,Software,Small Cap,United States
ALL,The Allstate Corporation,Financials,Insurance,Large Cap,United States
ALL-PB,The Allstate Corporation,Financials,Insurance,Large Cap,United States
ALL-PG,The Allstate Corporation,Financials,Insurance,Large Cap,United States
ALL-PH,The Allstate Corporation,Financials,Insurance,Large Cap,United States
ALL-PI,The Allstate Corporation,Financials,Insurance,Large Cap,United States
ALLIF,Lithium Corporation,Materials,Metals & Mining,Nano Cap,United States
ALLK,Allakos Inc.,Health Care,Biotechnology,Nano Cap,United States
ALLM,"Alliance Bioenergy Plus, Inc.",Materials,Chemicals,Micro Cap,United States
ALLO,"Allogene Therapeutics, Inc.",Health Care,Biotechnology,Small Cap,United States
ALLQ,ALL-Q-TELL Corp.,Industrials,Professional Services,Nano Cap,United States
ALLR,Allarity Therapeutics Inc. Common Stock,Health Care,Biotechnology,Nano Cap,United States
ALLWF,Allied Minds plc,Financials,Capital Markets,Micro Cap,United States
ALLY,Ally Financial Inc.,Financials,Consumer Finance,Large Cap,United States
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,Financials,,,United States
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,Financials,,,United States
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,Financials,,,United States
ALL^J,Allstate Corporation (The),Financials,,,United States
ALMC,Alimco Financial Corporation,Financials,Capital Markets,Nano Cap,United States
ALME,Alamo Energy Corp.,Energy,"Oil, Gas & Consumable Fuels",Nano Cap,United States
ALMFF,Altium Limited,Information Technology,Software,Mid Cap,United States
ALMS,Alumis Inc. Common Stock,Health Care,,Mid Cap,United States
ALMY,"Alchemy Creative, Inc.",Health Care,,Nano Cap,United States
ALNA,"Allena Pharmaceuticals, Inc.",Health Care,Biotechnology,Micro Cap,United States
ALNT,Allient Inc. Common Stock,Industrials,,Small Cap,United States
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Biotechnology,Large Cap,United States
ALOD,"Allied Resources, Inc.",Energy,"Oil, Gas & Consumable Fuels",Nano Cap,United States
ALOR,ALSP Orchid Acquisition Corporation I Class A Ordinary Share,Financials,Diversified Financial Services,Nano Cap,United States
ALORU,ALSP Orchid Acquisition Corporation I Unit,Financials,Diversified Financial Services,Nano Cap,United States
ALORW,ALSP Orchid Acquisition Corporation I Warrant,Financials,Diversified Financial Services,Nano Cap,United States
ALOT,"AstroNova, Inc.",Information Technology,"Technology Hardware, Storage & Peripherals",Micro Cap,United States
ALOVU,Aldabra 4 Liquidity Opportunity Vehicle Inc. Units,Financials,Diversified Financial Services,Nano Cap,United States
ALP-PQ,Alabama Power Company,Utilities,Electric Utilities,Small Cap,United States
ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock,Financials,Diversified Financial Services,Nano Cap,United States
ALPAU,Alpha Healthcare Acquisition Corp. III Units,Financials,Diversified Financial Services,Nano Cap,United States
ALPAW,Alpha Healthcare Acquisition Corp. III Warrant,Financials,Diversified Financial Services,Nano Cap,United States
ALPE,alpha-En Corporation,Information Technology,"Electronic Equipment, Instruments & Components",Nano Cap,United States
ALPIB,Alpine Banks of Colorado,Financials,Banks,Small Cap,United States
ALPN,"Alpine Immune Sciences, Inc.",Health Care,Biotechnology,Mid Cap,United States
ALPP,"Alpine 4 Holdings, Inc.",Information Technology,"Electronic Equipment, Instruments & Components",Nano Cap,United States
ALPVN,Alabama Power Company,Utilities,Electric Utilities,Small Cap,United States
ALPX,Alpex Acquisition Corporation Class A Ordinary Shares,Financials,Diversified Financial Services,Nano Cap,United States
ALPXR,Alpex Acquisition Corporation Rights,Financials,Diversified Financial Services,Nano Cap,United States
ALPXW,Alpex Acquisition Corporation Warrants,Financials,Diversified Financial Services,Nano Cap,United States
ALRM,"Alarm.com Holdings, Inc.",Information Technology,Software,Mid Cap,United States
ALRN,"Aileron Therapeutics, Inc.",Health Care,Biotechnology,Nano Cap,United States
ALRS,Alerus Financial Corporation,Financials,Banks,Small Cap,United States
ALRT,ALR Technologies Inc.,Health Care,Health Care Technology,Nano Cap,United States
ALRY,"Allenergy, Inc.",Energy,,Nano Cap,United States
ALSA,Alpha Star Acquisition Corporation Ordinary Shares,Financials,Diversified Financial Services,Nano Cap,United States
ALSAR,Alpha Star Acquisition Corporation Rights,Financials,Diversified Financial Services,Nano Cap,United States
ALSAU,Alpha Star Acquisition Corporation Units,Financials,Diversified Financial Services,Nano Cap,United States
ALSAW,Alpha Star Acquisition Corporation Warrants,Financials,Diversified Financial Services,Nano Cap,United States
ALSE,"Alseres Pharmaceuticals, Inc.",Health Care,Biotechnology,Nano Cap,United States
ALSI,"Atlas Resources International, Inc.",Industrials,Professional Services,Nano Cap,United States
ALSK,"Alaska Communications Systems Group, Inc.",Communication Services,Diversified Telecommunication Services,Micro Cap,United States
ALSN,"Allison Transmission Holdings, Inc.",Consumer Discretionary,Auto Components,Large Cap,United States
ALT,"Altimmune, Inc.",Health Care,Biotechnology,Small Cap,United States
ALTA,Altabancorp,Financials,Banks,Small Cap,United States
ALTD,"Altitude International Holdings, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Nano Cap,United States
ALTG,Alta Equipment Group Inc.,Industrials,Commercial Services & Supplies,Micro Cap,United States
ALTG-PA,Alta Equipment Group Inc.,Industrials,Commercial Services & Supplies,Small Cap,United States
ALTI,Alvarium Tiedemann Holdings Inc. Class A Common Stock,Financials,Capital Markets,Small Cap,United States
ALTIW,Alvarium Tiedemann Holdings Inc. Warrant,Financials,Capital Markets,Micro Cap,United States
ALTM,Altus Midstream Company,Energy,"Oil, Gas & Consumable Fuels",Mid Cap,United States
ALTO,"Alto Ingredients, Inc.",Materials,Chemicals,Micro Cap,United States
ALTR,Altair Engineering Inc.,Information Technology,Software,Mid Cap,United States
ALTS,ALT5 Sigma Corporation Common Stock,Consumer Discretionary,Household Durables,Micro Cap,United States
ALTU,Altitude Acquisition Corp.,Financials,Diversified Financial Services,Nano Cap,United States
ALTUU,Altitude Acquisition Corp.,Financials,Diversified Financial Services,Nano Cap,United States
ALTUW,Altitude Acquisition Corp.,Financials,Diversified Financial Services,Nano Cap,United States
ALTX,"Altex Industries, Inc.",Energy,"Oil, Gas & Consumable Fuels",Nano Cap,United States
ALUR,Allurion Technologies Inc. Common Stock,Health Care,,Nano Cap,United States
ALVR,"AlloVir, Inc.",Health Care,Biotechnology,Nano Cap,United States
ALX,"Alexander's, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs),Small Cap,United States
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Biotechnology,Large Cap,United States
ALXO,ALX Oncology Holdings Inc.,Health Care,Biotechnology,Micro Cap,United States
ALYE,"Aly Energy Services, Inc.",Energy,Energy Equipment & Services,Nano Cap,United States
ALYI,"Alternet Systems, Inc.",Information Technology,IT Services,Nano Cap,United States
ALZN,Alzamend Neuro Inc. Common Stock,Health Care,Biotechnology,Nano Cap,United States
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,Financials,,,United States
AM,Antero Midstream Corporation,Energy,"Oil, Gas & Consumable Fuels",Large Cap,United States
AMAL,Amalgamated Financial Corp.,Financials,Banks,Small Cap,United States
AMAM,Ambrx Biopharma Inc. American Depositary Shares,Health Care,Biotechnology,Small Cap,United States
AMAN,Amanat Acquisition Corp Class A Ordinary Shares,Financials,Diversified Financial Services,Nano Cap,United States
AMAO,American Acquisition Opportunity Inc.,Financials,Diversified Financial Services,Nano Cap,United States
AMAOU,American Acquisition Opportunity Inc.,Financials,Diversified Financial Services,Nano Cap,United States
AMAOW,American Acquisition Opportunity Inc.,Financials,Diversified Financial Services,Nano Cap,United States
AMAR,"Amarillo Biosciences, Inc.",Health Care,Biotechnology,Nano Cap,United States
AMAT,"Applied Materials, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Mega Cap,United States
AMAZ,"Amazing Energy Oil and Gas, Co.",Energy,"Oil, Gas & Consumable Fuels",Nano Cap,United States
AMBA,"Ambarella, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap,United States
AMBC,"Ambac Financial Group, Inc.",Financials,Insurance,Small Cap,United States
AMBC-WT,"Ambac Financial Group, Inc.",Financials,Insurance,Small Cap,United States
AMBD,American Mobile Dental Corp.,Health Care,Health Care Equipment & Supplies,Nano Cap,United States
AMBG,AMBG Inc.,Financials,Diversified Financial Services,,United States
AMBK,American Bank Incorporated,Financials,Banks,Nano Cap,United States
AMBQ,Ambiq Micro Inc. Common Stock,Information Technology,Semiconductors & Semiconductor Equipment,Small Cap,United States
AMBS,"Amarantus BioScience Holdings, Inc.",Health Care,Biotechnology,Nano Cap,United States
AMBZ,American Business Bank,Financials,Banks,Small Cap,United States
AMC,"AMC Entertainment Holdings, Inc.",Communication Services,Entertainment,Small Cap,United States
AMCI,AMC Robotics Corporation Common Stock,Financials,Diversified Financial Services,Micro Cap,United States
AMCT,"American Education Center, Inc.",Industrials,Professional Services,Nano Cap,United States
AMCX,AMC Global Media Inc.,Financials,Diversified Financial Services,Small Cap,United States
AMCY,"ACS Global, Inc.",Health Care,Biotechnology,,United States
AMD,"Advanced Micro Devices, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Mega Cap,United States
AME,"AMETEK, Inc.",Industrials,Machinery,Large Cap,United States
AMED,"Amedisys, Inc.",Health Care,Health Care Equipment & Supplies,Mid Cap,United States
AMEH,"Apollo Medical Holdings, Inc.",Health Care,Health Care Equipment & Supplies,Mid Cap,United States
AMEN,"AMEN Properties, Inc.",Energy,"Oil, Gas & Consumable Fuels",Nano Cap,United States
AMFC,AMB Financial Corp.,Financials,Banks,Nano Cap,United States
AMFL,"American Films, Inc.",Financials,Diversified Financial Services,Nano Cap,United States
AMG,"Affiliated Managers Group, Inc.",Financials,Capital Markets,Mid Cap,United States
AMGN,Amgen Inc.,Health Care,Pharmaceuticals,Mega Cap,United States
AMGY,"American Metal & Technology, Inc.",Industrials,Building Products,Nano Cap,United States
AMH,American Homes 4 Rent,Real Estate,Equity Real Estate Investment Trusts (REITs),Large Cap,United States
AMH-PD,American Homes 4 Rent,Real Estate,Equity Real Estate Investment Trusts (REITs),Mid Cap,United States
AMH-PE,American Homes 4 Rent,Real Estate,Equity Real Estate Investment Trusts (REITs),Mid Cap,United States
AMH-PF,American Homes 4 Rent,Real Estate,Equity Real Estate Investment Trusts (REITs),Mid Cap,United States
AMH-PG,American Homes 4 Rent,Real Estate,Equity Real Estate Investment Trusts (REITs),Mid Cap,United States
AMH-PH,American Homes 4 Rent,Real Estate,Equity Real Estate Investment Trusts (REITs),Mid Cap,United States
AMHC,Amplitude Healthcare Acquisition Corporation,Financials,Diversified Financial Services,Micro Cap,United States
AMHCU,Amplitude Healthcare Acquisition Corporation,Financials,Diversified Financial Services,Micro Cap,United States
AMHCW,Amplitude Healthcare Acquisition Corporation,Financials,Diversified Financial Services,Micro Cap,United States
AMHD,"HLK Biotech Holding Group, Inc.",Health Care,Pharmaceuticals,Nano Cap,United States
AMHG,"Amergent Hospitality Group, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Nano Cap,United States
AMHV,American Hemp Ventures Inc.,Health Care,Biotechnology,Nano Cap,United States
AMIH,American International Holdings Corp.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Nano Cap,United States
AMIN,"American International Industries, Inc.",Industrials,Industrial Conglomerates,Nano Cap,United States
AMIX,Autonomix Medical Inc. Common Stock,Health Care,,Nano Cap,United States
AMK,"AssetMark Financial Holdings, Inc.",Financials,Capital Markets,Mid Cap,United States
AMKR,"Amkor Technology, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,Large Cap,United States
AMLC,Amelco Corporation,Industrials,Construction & Engineering,,United States
AMLH,"American Leisure Holdings, Inc.",Communication Services,Media,Nano Cap,United States
AMLM,"American Lithium Minerals, Inc.",Materials,Metals & Mining,Nano Cap,United States
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology,Small Cap,United States
AMMJ,"American Cannabis Company, Inc.",Industrials,Professional Services,Nano Cap,United States
AMMX,"AmeraMex International, Inc.",Industrials,Machinery,Nano Cap,United States
AMN,AMN Healthcare Services Inc,Health Care,Health Care Equipment & Supplies,Small Cap,United States
AMNB,American National Bankshares Inc.,Financials,Banks,Small Cap,United States
AMNC,"Amincor, Inc.",Consumer Staples,Food & Staples Retailing,Nano Cap,United States
AMNCB,"Amincor, Inc.",Consumer Staples,Food & Staples Retailing,Nano Cap,United States
AMNE,"American Green Group, Inc.",Materials,,Nano Cap,United States
AMNF,"Armanino Foods of Distinction, Inc.",Consumer Staples,Food & Staples Retailing,Micro Cap,United States
AMNL,"Applied Minerals, Inc.",Materials,Metals & Mining,Nano Cap,United States
AMNP,American Sierra Gold Corp.,Materials,Metals & Mining,Nano Cap,United States
AMOD,Alpha Modus Holdings Inc. Class A Common Stock,Materials,Chemicals,Nano Cap,United States
AMODW,Alpha Modus Holdings Inc. Warrant,Materials,Chemicals,Nano Cap,United States
AMOT,Allied Motion Technologies Inc.,Information Technology,"Electronic Equipment, Instruments & Components",Small Cap,United States
AMP,"Ameriprise Financial, Inc.",Financials,Capital Markets,Large Cap,United States
AMPE,"Ampio Pharmaceuticals, Inc.",Health Care,Biotechnology,Nano Cap,United States
AMPG,"AmpliTech Group, Inc.",Information Technology,Communications Equipment,Micro Cap,United States
AMPGR,Amplitech Group Inc. Series A Right,Communication Services,Diversified Telecommunication Services,Nano Cap,United States
AMPGW,"AmpliTech Group, Inc.",Information Technology,Communications Equipment,Nano Cap,United States
AMPGZ,Amplitech Group Inc. Series B Right,Communication Services,Diversified Telecommunication Services,Nano Cap,United States
AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,Small Cap,United States
AMPI,"Advanced Merger Partners, Inc",Financials,Diversified Financial Services,,United States
AMPI-UN,"Advanced Merger Partners, Inc",Financials,Diversified Financial Services,,United States
AMPL,Amplitude Inc. Class A Common Stock,Information Technology,Software,Small Cap,United States
AMPS,Altus Power Inc. Class A Common Stock,Utilities,Electric Utilities,Small Cap,United States
AMPX,Amprius Technologies Inc. Common Stock,Industrials,Electrical Equipment,Small Cap,United States
AMPY,Amplify Energy Corp.,Energy,"Oil, Gas & Consumable Fuels",Micro Cap,United States
AMR,"Alpha Metallurgical Resources, Inc.",Materials,Metals & Mining,Mid Cap,United States
AMRA,"American Racing Capital, Inc.",Consumer Discretionary,,Nano Cap,United States
AMRB,American River Bankshares,Financials,Banks,Micro Cap,United States
AMRC,"Ameresco, Inc.",Industrials,Construction & Engineering,Small Cap,United States
AMRK,"A-Mark Precious Metals, Inc.",Financials,Capital Markets,Small Cap,United States
AMRR,American Metals Recovery and Recycling Inc.,Financials,Diversified Financial Services,Nano Cap,United States
AMRS,"AMYRIS, INC.",Materials,Chemicals,Nano Cap,United States
AMRX,"Amneal Pharmaceuticals, Inc. Class A",Health Care,Pharmaceuticals,Mid Cap,United States
AMRZ,Amrize Ltd Ordinary Shares,Materials,Construction Materials,Large Cap,United States
AMS,American Shared Hospital Services,Health Care,Health Care Equipment & Supplies,Nano Cap,United States
AMSA,"American Seniors Association Holding Group, Inc.",Financials,Consumer Finance,Nano Cap,United States
AMSC,American Superconductor Corporation,Industrials,Machinery,Small Cap,United States
AMSF,"AMERISAFE, Inc.",Financials,Insurance,Small Cap,United States
AMST,Amesite Inc.,Information Technology,Software,Nano Cap,United States
AMSU,Amanasu Environment Corporation,Industrials,Construction & Engineering,Nano Cap,United States
AMSWA,"American Software, Inc.",Information Technology,Software,Small Cap,United States
AMT,American Tower Corporation,Real Estate,Equity Real Estate Investment Trusts (REITs),Large Cap,United States
AMTB,Amerant Bancorp Inc.,Financials,Banks,Small Cap,United States
AMTBB,Amerant Bancorp Inc.,Financials,Banks,Small Cap,United States
AMTCQ,Ameritrans Capital Corp.,Financials,Capital Markets,Nano Cap,United States
AMTI,Applied Molecular Transport Inc.,Health Care,Biotechnology,Nano Cap,United States
AMTPQ,Ameritrans Capital Corp.,Financials,Capital Markets,Nano Cap,United States
AMTX,"Aemetis, Inc.",Energy,"Oil, Gas & Consumable Fuels",Micro Cap,United States
AMTY,Amerityre Corporation,Consumer Discretionary,Auto Components,Nano Cap,United States
AMV,Atlis Motor Vehicles Inc. Class A Common Stock,Consumer Discretionary,Auto Components,Nano Cap,United States
AMWD,American Woodmark Corporation,Consumer Discretionary,Household Durables,Small Cap,United States
AMWK,"AmeriStar Network, Inc.",Financials,Diversified Financial Services,Micro Cap,United States
AMWL,American Well Corporation,Health Care,Health Care Providers & Services,Micro Cap,United States
AMXX,Maxx Sports TV Inc.,Industrials,Commercial Services & Supplies,Nano Cap,United States
AMZE,Amaze Holdings Inc. Common Stock,Consumer Staples,Beverages,Nano Cap,United States
AMZN,"Amazon.com, Inc.",Consumer Discretionary,Internet & Direct Marketing Retail,Mega Cap,United States
AN,"AutoNation, Inc.",Consumer Discretionary,Automobiles,Mid Cap,United States
ANAB,"AnaptysBio, Inc.",Health Care,Biotechnology,Small Cap,United States
ANABV,AnaptysBio Inc. Common Stock When Issued,Health Care,Biotechnology,Nano Cap,United States
ANAC,Arctos NorthStar Acquisition Co,Financials,Diversified Financial Services,Small Cap,United States
ANAC-UN,Arctos NorthStar Acquisition Co,Financials,Diversified Financial Services,Small Cap,United States
ANAC-WT,Arctos NorthStar Acquisition Co,Financials,Diversified Financial Services,Small Cap,United States
ANAS,"Alternaturals, Inc.",Health Care,Pharmaceuticals,Nano Cap,United States
ANAT,"American National Group, Inc.",Financials,Insurance,Mid Cap,United States
ANAV,two,Financials,Diversified Financial Services,Micro Cap,United States
ANCE,"Restance, Inc.",Real Estate,Real Estate Management & Development,Nano Cap,United States
ANCSQ,"American Consumers, Inc.",Consumer Staples,Food & Staples Retailing,Nano Cap,United States
ANDC,"Andover Bancorp, Inc.",Financials,Banks,Nano Cap,United States
ANDE,"The Andersons, Inc.",Consumer Staples,Food & Staples Retailing,Mid Cap,United States
ANDG,Andersen Group Inc. Class A Common Stock,Real Estate,Real Estate Management & Development,Mid Cap,United States
ANDI,Andiamo Corporation,Information Technology,Software,Nano Cap,United States
ANDR,Andrea Electronics Corporation,Information Technology,"Electronic Equipment, Instruments & Components",Nano Cap,United States
ANEB,"Anebulo Pharmaceuticals, Inc.",Health Care,Biotechnology,Nano Cap,United States
ANET,"Arista Networks, Inc.",Financials,Diversified Financial Services,Large Cap,United States
ANF,Abercrombie & Fitch Co. Class A,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Mid Cap,United States
ANGI,Angi Inc.,Communication Services,Diversified Telecommunication Services,Small Cap,United States
ANGIV,Angi Inc. Class A Common Stock When Issued,Communication Services,Diversified Telecommunication Services,Small Cap,United States
ANGN,Angion Biomedica Corp.,Health Care,Biotechnology,Nano Cap,United States
ANGO,"AngioDynamics, Inc.",Health Care,Health Care Equipment & Supplies,Small Cap,United States
ANGX,Angel Studios Inc. Class A Common Stock,Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap,United States
ANG^A,American National Group Inc.,Financials,,,United States
ANG^B,American National Group Inc.,Financials,,,United States
ANG^D,American National Group Inc. Depositary Shares each representing a 1/1000th interest in a share of 7.375% Fixed-Rate Non-Cumulative Preferred Stock Series D,Financials,,,United States
ANIK,"Anika Therapeutics, Inc.",Health Care,Biotechnology,Micro Cap,United States
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,Small Cap,United States
ANIX,"Anixa Biosciences, Inc.",Health Care,Biotechnology,Micro Cap,United States
ANMP,"Anacomp, Inc.",Industrials,Professional Services,Nano Cap,United States
ANNA,AleAnna Inc. Class A Common Stock,Energy,"Oil, Gas & Consumable Fuels",Micro Cap,United States
ANNAW,AleAnna Inc. Warrant,Energy,"Oil, Gas & Consumable Fuels",Nano Cap,United States
ANNX,"Annexon, Inc.",Health Care,Biotechnology,Small Cap,United States
ANRO,Alto Neuroscience Inc.,Health Care,,Small Cap,United States
